pageid,name,city
5848474,Doug Barfield,"Grove Hill, Alabama"
19281838,Zachariah Bettis,"Grove Hill, Alabama"
13364129,John W. Cranford,"Grove Hill, Alabama"
13567065,Grant Gillis,"Grove Hill, Alabama"
44230987,Winky Hicks,"Grove Hill, Alabama"
40654882,Marc Keahey,"Grove Hill, Alabama"
1664465,F. David Mathews,"Grove Hill, Alabama"
13531563,Cliff Nobles,"Grove Hill, Alabama"
14579208,I. T. Quinn,"Grove Hill, Alabama"
3351993,Ebenezer Allen,"Poultney (town), Vermont"
32631793,Jeffrey Brace,"Poultney (town), Vermont"
14631677,George Cassidy (coach),"Poultney (town), Vermont"
12922189,Warren A. Cowdery,"Poultney (town), Vermont"
33400693,David G. Hooker,"Poultney (town), Vermont"
3533570,George Jones (publisher),"Poultney (town), Vermont"
15690985,Marcellus Jones,"Poultney (town), Vermont"
58788764,Asahel C. Kendrick,"Poultney (town), Vermont"
33901223,James S. Marshall,"Poultney (town), Vermont"
3060882,Ralph Barton Perry,"Poultney (town), Vermont"
760988,Benjamin Pond,"Poultney (town), Vermont"
42289289,Ethan Smith (clergyman),"Poultney (town), Vermont"
35927617,Elisha Ward,"Poultney (town), Vermont"
31243153,"Dennis Byrd (American football, born 1946)","Pleasant Garden, North Carolina"
29515927,Joey Hackett,"Pleasant Garden, North Carolina"
2182497,Shane Hmiel,"Pleasant Garden, North Carolina"
43565964,Don Vaughan (politician),"Pleasant Garden, North Carolina"
5820400,William Dennison Cary,"Sandy Creek, New York"
3119962,Clarence D. Clark,"Sandy Creek, New York"
43757276,Oren R. Earl,"Sandy Creek, New York"
43543587,Cornelius M. Hadley,"Sandy Creek, New York"
23478608,Irving G. Hubbs,"Sandy Creek, New York"
9818884,Allen and James Thompson,"Sandy Creek, New York"
36631987,Andrew S. Warner,"Sandy Creek, New York"
21804203,Edward Coke Billings,"Hatfield, Massachusetts"
39651852,William H. Burke Jr.,"Hatfield, Massachusetts"
3204571,Jonathan Dickinson (New Jersey),"Hatfield, Massachusetts"
50009350,Rebecca Dickinson,"Hatfield, Massachusetts"
11630945,Rodolphus Dickinson,"Hatfield, Massachusetts"
2184494,Joseph Dwight,"Hatfield, Massachusetts"
12635307,Jack Hubbard,"Hatfield, Massachusetts"
41111637,George Owen Knapp,"Hatfield, Massachusetts"
22198627,Oliver Partridge,"Hatfield, Massachusetts"
1369492,Sophia Smith,"Hatfield, Massachusetts"
1613953,Elisha Williams,"Hatfield, Massachusetts"
24974196,Robert H. Abel,"Hadley, Massachusetts"
12871969,E. Wayne Abercrombie,"Hadley, Massachusetts"
51599294,Lucia Aniello,"Hadley, Massachusetts"
171480,Joseph Hooker,"Hadley, Massachusetts"
59038754,Horace E. Stockbridge,"Hadley, Massachusetts"
1215884,Frederic Dan Huntington,"Hadley, Massachusetts"
58543622,Clifton Johnson (author),"Hadley, Massachusetts"
1982212,Irving Johnson,"Hadley, Massachusetts"
46400788,Giles Crouch Kellogg,"Hadley, Massachusetts"
45224967,Merritt Kellogg,"Hadley, Massachusetts"
52513175,Jay E. Nash,"Hadley, Massachusetts"
27231830,Elizabeth Porter Phelps,"Hadley, Massachusetts"
14056119,Chris Rohmann,"Hadley, Massachusetts"
28643632,Winthrop H. Smith,"Hadley, Massachusetts"
3995692,Mary Webster (alleged witch),"Hadley, Massachusetts"
11542686,Curtis Coe Bean,"Tamworth, New Hampshire"
48000031,David Marks Bean,"Tamworth, New Hampshire"
41913000,John S. Cate,"Tamworth, New Hampshire"
59039050,Francis Cleveland,"Tamworth, New Hampshire"
32914470,Jonathan P. Folsom,"Tamworth, New Hampshire"
4967802,Richard T. Gill,"Tamworth, New Hampshire"
10255355,Rosy Lamb,"Tamworth, New Hampshire"
35840214,Benedict J. Semmes Jr.,"Tamworth, New Hampshire"
47842741,Emma Didlake,"Boligee, Alabama"
1798114,William P. G. Harding,"Boligee, Alabama"
11580720,Charles Hays,"Boligee, Alabama"
11754764,Brad Hubbert,"Boligee, Alabama"
5145694,John McKee,"Boligee, Alabama"
13542614,William W. Blair,"Murray, New York"
41962086,Pitts Ellis,"Murray, New York"
21492257,Jacob Hinds,"Murray, New York"
11593033,Luther C. Peck,"Murray, New York"
11585587,George D. Perkins,"Murray, New York"
2181038,Dangerous Danny Davis,"Rollinsford, New Hampshire"
6365880,Dave Guard,"Rollinsford, New Hampshire"
54424208,Rachel Hill,"Rollinsford, New Hampshire"
57633929,Edith A. Roberts,"Rollinsford, New Hampshire"
4989652,Edward H. Rollins,"Rollinsford, New Hampshire"
1519430,Bill Staines,"Rollinsford, New Hampshire"
353392,Warren Austin,"Highgate, Vermont"
23955024,Alexander Christie (bishop),"Highgate, Vermont"
43806005,Franklin Johndro,"Highgate, Vermont"
1709624,John Godfrey Saxe,"Highgate, Vermont"
19656628,Mac Cummings,"Tully, New York"
1383587,Irving Gill,"Tully, New York"
18335217,Lopez Lomong,"Tully, New York"
5058561,R. Walter Riehlman,"Tully, New York"
30032269,Arthur C. Sidman,"Tully, New York"
3795630,Charles H. Vail,"Tully, New York"
38796283,Charles H. Walker,"Tully, New York"
50909603,Lyman Walker,"Tully, New York"
14793378,The Corsairs,"La Grange, North Carolina"
15724337,Ray E. Eubanks,"La Grange, North Carolina"
7672695,Frank Lucas (drug dealer),"La Grange, North Carolina"
8611028,Johnny Shepherd,"La Grange, North Carolina"
5993789,Harry F. Weyher Jr.,"La Grange, North Carolina"
23428420,Larry Butts,"Alto, Georgia"
48635948,Gerald Gitner,"Highland Beach, Florida"
18600829,Jeff Gordon,"Highland Beach, Florida"
33985949,Mary Rountree,"Highland Beach, Florida"
24536826,Bob Sohl,"Highland Beach, Florida"
25023443,Lynn Tilton,"Highland Beach, Florida"
29929048,Hugh Blackwell,"Valdese, North Carolina"
451616,Walter G. Church Sr.,"Valdese, North Carolina"
45095744,Bill Cline,"Valdese, North Carolina"
15072433,Doug Cline,"Valdese, North Carolina"
41438734,Chuck Gallagher,"Valdese, North Carolina"
451619,Mark K. Hilton,"Valdese, North Carolina"
6935683,J. Bazzel Mull,"Valdese, North Carolina"
32698545,Alabama Pitts,"Valdese, North Carolina"
380316,Stanley Pons,"Valdese, North Carolina"
43703124,Tyler Shatley,"Valdese, North Carolina"
22742905,George Shuffler,"Valdese, North Carolina"
481750,John Hanks Alexander,"Carrollton, Mississippi"
15654785,G. L. Crockett,"Carrollton, Mississippi"
53373033,Robert LeFlore,"Carrollton, Mississippi"
3305387,Hernando Money,"Carrollton, Mississippi"
29553219,Billy Nichols,"Carrollton, Mississippi"
13176490,Willie Norwood (basketball),"Carrollton, Mississippi"
8336041,John A. Pittman,"Carrollton, Mississippi"
46566280,Walter H. Simmons,"Carrollton, Mississippi"
4951665,Riley Smith (American football),"Carrollton, Mississippi"
8134257,Elizabeth Spencer (writer),"Carrollton, Mississippi"
24791627,William M. Walton,"Carrollton, Mississippi"
6128427,Horace Eaton,"Enosburgh, Vermont"
11630497,John F. Follett,"Enosburgh, Vermont"
30297785,Martin Dewey Follett,"Enosburgh, Vermont"
3782608,Larry Gardner,"Enosburgh, Vermont"
33571516,Samuel Harrison Greene,"Enosburgh, Vermont"
38631066,Oren Cornelius Gregg,"Enosburgh, Vermont"
23498205,E. Mason Hopper,"Enosburgh, Vermont"
46764144,Olin M. Jeffords,"Enosburgh, Vermont"
2426918,Susan Tolman Mills,"Enosburgh, Vermont"
24746264,Arthur W. Woodworth,"Enosburgh, Vermont"
13938618,Louis Winslow Austin,"Orwell, Vermont"
49479074,Henry C. Bottum,"Orwell, Vermont"
52604207,Roswell Bottum (farmer),"Orwell, Vermont"
23450906,Seymour Brunson,"Orwell, Vermont"
41639185,Sarah E. Buxton,"Orwell, Vermont"
15504506,John Catlin,"Orwell, Vermont"
35523106,Nathaniel Colver,"Orwell, Vermont"
11472842,Marsena E. Cutts,"Orwell, Vermont"
4587440,Azariah C. Flagg,"Orwell, Vermont"
4293890,William Pitt Kellogg,"Orwell, Vermont"
615147,Carl Hubbell,"Meeker, Oklahoma"
1307357,Ernest L. Martin,"Meeker, Oklahoma"
38295463,Vicky McGehee,"Meeker, Oklahoma"
13755127,Death of Kelsey Smith-Briggs,"Meeker, Oklahoma"
44019352,Samuel Colley,"Turtle, Wisconsin"
41854004,Charles H. Everett,"Turtle, Wisconsin"
37423286,John Hammond (Wisconsin politician),"Turtle, Wisconsin"
50414271,Cornelius Mortimer Treat,"Turtle, Wisconsin"
43224364,Marius Dueholm,"Luck, Wisconsin"
46512676,Hans M. Laursen,"Luck, Wisconsin"
33982178,Charles D. Madsen,"Luck, Wisconsin"
